,Date,search_word,User,Tweets,Sarcastic,compound,Happy,Angry,Surprise,Sad,Fear,Sentiment
0,2023-02-10 04:32:33,adani,iwsharan,as advised earlier adani group shares are in redcontinue to trade volatile with downsidejoin our telegram ch…,not_sarcastic,0.296,0.0,0.0,0.5,0.0,0.5,Positive
1,2023-02-10 04:32:29,adani,Subhash101958,check your birth chart you must be having a shani sadesatihelping your lower class employee will hel…,not_sarcastic,-0.296,0.0,0.0,1.0,0.0,0.0,Negative
2,2023-02-10 04:32:27,adani,business_today,sensex nifty fall in early trade paytm shares tank 7 adani group stocks drop up to 5,not_sarcastic,0.4215,0.0,0.0,0.67,0.0,0.33,Positive
3,2023-02-10 04:32:16,adani,hardik97494342,msci rejig adani enterprises 3 different adani group shares may even see 428 million outflows ,not_sarcastic,0.296,0.0,0.0,0.5,0.0,0.5,Positive
4,2023-02-10 04:32:13,adani,rebben02664383,msci rejig adani enterprises 3 different adani group shares may even see 428 million outflows ,not_sarcastic,0.296,0.0,0.0,0.5,0.0,0.5,Positive
5,2023-02-10 04:32:09,adani,venkidesh_403,youre in kerala right how do u know that adani is modi s friend do they told u,not_sarcastic,0.4939,0.5,0.0,0.0,0.5,0.0,Positive
6,2023-02-10 04:32:04,adani,malikankur7,intropection will show you the karm your party started this kind of…,sarcastic,0.7269,1.0,0.0,0.0,0.0,0.0,Positive
7,2023-02-10 04:32:03,adani,dandiwakh,adani 5000 waale pls raise your hand  ,sarcastic,0.5423,0.0,0.0,0.0,0.0,0.0,Positive
8,2023-02-10 04:32:00,adani,vanichandra2010,stock markets behave aas per market conditions stock markets follow rumors and rise or fall adani is not the firs…,sarcastic,0.5423,0.0,0.0,0.0,0.0,1.0,Positive
9,2023-02-10 04:31:59,adani,maheshivaramu,wow superb  robert vadra or raja have very deep knowledge on lithium mining  so they will compete with adani and ambani,not_sarcastic,0.836,0.5,0.0,0.5,0.0,0.0,Positive
10,2023-02-10 04:31:54,adani,TheVsinha03,btw when it comes to adani then full form of ed becomes erectile dysfunction,not_sarcastic,-0.4215,0.0,0.0,0.0,0.0,0.0,Negative
11,2023-02-10 04:31:51,adani,Jayesh67036940,adani is not india economy controversial doesnt mean wrong if hindenberg has attacked one single…,not_sarcastic,0.0377,0.0,0.0,0.0,0.0,1.0,Neutral
12,2023-02-10 04:31:37,adani,bsindia,business standard brings you the top headlines at this hour,not_sarcastic,0.2023,0.0,0.0,0.33,0.33,0.33,Positive
13,2023-02-10 04:31:36,adani,JaiHindKB,adani wilmar has best balance sheet in adani pack fortune cooking oil brand has huge market capitalisation adani wi…,sarcastic,0.7579,0.25,0.0,0.0,0.25,0.5,Positive
14,2023-02-10 04:31:29,adani,NseWhizz,buy the sold holding on adani ports back at cmp  597 there were multiple opportunities to buy at lower prices at…,not_sarcastic,0.1027,1.0,0.0,0.0,0.0,0.0,Positive
